Id tin ,Tieu de tin ,Dia diem tuyen dung ,Tinh thanh tuyen dung ,Chuc vu ,Muc luong ,Hinh thuc lam viec ,Nhu cau,Nganh nghe ,Linh vuc ,Kinh nghiem ,Id cong ty 
782956,[PHU LONG HO CHI MINH] KIEN TRUC SU,"14 duong 4F, Phuong Tan Thuan Tay, Quan 7, HCM",Ho Chi Minh,Nhan vien,Thoa thuan,Toan thoi gian co dinh,50,"Kien truc - Tk noi that, Xay dung",tro ly giam doc nhan su,2 - 5 nam kinh nghiem,190587
784432,"Nhan vien hanh chinh nhan su, van phong",110 DUONG D1 DI AN BINH DUONG,Binh Duong,Nhan vien,7 - 10 trieu,Toan thoi gian co dinh,50,"Hanh chinh - Van phong, Y te - Duoc, Cong nghe thuc pham",nhan vien van phong trinh do 12/12,0 - 1 nam kinh nghiem,204684
781769,KE TOAN TONG HOP,"47 N2, KDC Mega Residence, Phuong Phu Huu",Ho Chi Minh,Nhan vien,10 - 15 trieu,Toan thoi gian co dinh,50,Ke toan - Kiem toan,ke toan tong hop,1 - 2 nam kinh nghiem,208518
780765,KE TOAN KHO DON VI THANH VIEN KINH DOANH NOI THAT,,Ha Noi,Nhan vien,Thoa thuan,Toan thoi gian co dinh,50,Ke toan - Kiem toan,chuyen vien kinh doanh,2 - 5 nam kinh nghiem,210530
780861,Cham soc khach hang,1196 Duong 3/2 phuong 8 quan 11 Tp Ho Chi Minh,Ho Chi Minh,Nhan vien,7 - 10 trieu,Toan thoi gian co dinh,50,"Tu van, Cham soc khach hang, Thuong mai dien tu",nhan vien cham soc khach hang online,1 - 2 nam kinh nghiem,210940
781668,CAN TUYEN KY THUAT SUA CHUA XE NANG,"Tang 6 Toa Nha MD Complex, So 68 Pho Nguyen Co Thach, Phuong Cau Dien Quan Nam Tu Liem, Ha Noi",Ha Noi,Nhan vien,10 - 15 trieu,Toan thoi gian co dinh,50,"Ky thuat, Ky thuat ung dung",nhan vien ky thuat,1 - 2 nam kinh nghiem,211298
781082,Ke Toan Tong Hop,,Ha Noi,Nhan vien,10 - 15 trieu,Toan thoi gian co dinh,40,Ke toan - Kiem toan,nhan vien tu van,1 - 2 nam kinh nghiem,210778
782954,Ke toan quan tri,152/11B Dien Bien Phu - Phuong 25 - Quan Binh Thanh - Tp HCM,Ho Chi Minh,Truong nhom,20 - 30 trieu,Toan thoi gian co dinh,33,"Tai chinh, Ngan hang - Chung khoan - Dau tu, San xuat - Van hanh san xuat",chuyen vien hoach dinh tai chinh,2 - 5 nam kinh nghiem,173691
783950,Viec lam luong 7-9tr thang them Buoi toi cho Hoc Sinh - sinh vien tai nha tren chiec dien thoai hay may tinh,Huyen Ben Luc Long An,Long An,Nhan vien,7 - 10 trieu,Ban thoi gian,30,"Khu che xuat - Khu cong nghiep, Lam dep - The luc - Spa, Sinh vien lam them",sinh vien xay dung lam them,Khong yeu cau,77460
784445,Viec lam Mua Dich Luong nhan theo tuan co phu cap 7-9Trieu - Viec lam them tai Nha Tranh Dich,Quan Muoi Mot Thanh Pho Ho Chi Minh,Ho Chi Minh,Nhan vien,7 - 10 trieu,Ban thoi gian,30,"Nhap lieu, Khach san - Nha hang, Sinh vien moi tot nghiep - Thuc tap",part time khach san,Khong yeu cau,77461
780920,Viec lam them tai nha buoi toi 2-3 gio 1 ngay luong 7-9 trieu thang VND nhan luong theo tuan uy tin,Quan Muoi Hai Thanh Pho Ho Chi Minh,Ho Chi Minh,Nhan vien,7 - 10 trieu,Ban thoi gian,30,"Sinh vien lam them, Dau bep - phu bep, Y te - Duoc",y si dong y,Khong yeu cau,93737
780354,Viec lam Them Cho sinh vien lao dong Pho thong Lam viec them ngoai gio luong 7-9tr thang chi can 2-3g ngay,Quan Thu Duc thanh Pho Ho Chi Minh,Ho Chi Minh,Nhan vien,7 - 10 trieu,Ban thoi gian,30,"Khu che xuat - Khu cong nghiep, Dau bep - phu bep, Y te - Duoc",y si dong y,Khong yeu cau,93737
782155,TRUONG NHOM KINH DOANH GT,"1768/10/14 Tinh Lo 10, Tan Tao , Quan Binh Tan , Ho Chi Minh, Viet Nam",Ho Chi Minh,Truong Phong,10 - 15 trieu,Toan thoi gian co dinh,30,"Quan tri kinh doanh, Telesales, Cham soc khach hang",Truong Phong Kinh Doanh,1 - 2 nam kinh nghiem,155413
782467,Ke Toan Kho (Showroom O To - Quan 12),"1374 QL1A, P. Thoi An, Quan 12, Tp. HCM",Ho Chi Minh,Nhan vien,7 - 10 trieu,Toan thoi gian co dinh,30,Ke toan - Kiem toan,nhan vien ke toan kho,1 - 2 nam kinh nghiem,205222
783692,[Ha Noi] Trinh duoc vien kenh OTC,Tran Hung Dao Hoan Kiem Ha Noi,Ha Noi,Nhan vien,10 - 15 trieu,Toan thoi gian co dinh,30,"Nhan vien kinh doanh, Y te - Duoc",Nhan Vien Kinh Doanh Duoc Pham,1 - 2 nam kinh nghiem,206294
784477,NHAN VIEN THUONG MAI DIEN TU,"71 Do Quang, Cau Giay",Ha Noi,Nhan vien,7 - 10 trieu,Toan thoi gian co dinh,30,"Nhan vien kinh doanh, Y te - Duoc",chuyen vien kinh doanh,0 - 1 nam kinh nghiem,206307
783295,Truong Phong Ke Toan,144-146-148 Le Lai Phuong Ben Thanh Quan 1,Ho Chi Minh,Truong Phong,Thoa thuan,Toan thoi gian co dinh,30,Ke toan - Kiem toan,truong phong ke toan,2 - 5 nam kinh nghiem,208156
783521,TU VAN CHOT DON SAN PHAM SUA ENSURE,20 Cong Hoa Quan Tan Binh,Ho Chi Minh,Nhan vien,15 - 20 trieu,Toan thoi gian co dinh,30,"Telesales, Tu van, Viec lam ban hang",telesale online,0 - 1 nam kinh nghiem,209547
781416,Nhan Vien Kinh Doanh,239 Ly Thai To Phuong An Hoa Thanh pho Hue,Thua Thien Hue,Nhan vien,7 - 10 trieu,Toan thoi gian co dinh,30,"Logistic, Tu van",Nhan Vien Kinh Doanh Logistics,Khong yeu cau,210201
781350,Nhan vien ban hang,So 4 Ho Giam,Ha Noi,Thuc tap sinh,10 - 15 trieu,Toan thoi gian co dinh,30,"Viec lam ban hang, Telesales, Cham soc khach hang",nhan vien ban hang luong cao,Khong yeu cau,210217
780557,Nhan vien tuyen dung,KDT Van Phuc,Ho Chi Minh,Nhan vien,7 - 10 trieu,Toan thoi gian co dinh,30,Nhan su,nhan vien tuyen dung,Khong yeu cau,210672
780539,NHAN VIEN CONTENT SHOPPE,100 Hoang Hoa Tham Phuong 12 quan Tan Binh,Ho Chi Minh,Nhan vien,5 - 7 trieu,Toan thoi gian co dinh,30,My pham - Thoi trang - Trang suc,Nhan Vien Kinh Doanh My Pham,Khong yeu cau,210762
780866,CHUYEN VIEN KINH DOANH,So 10 Le Thanh Ton TP Plieku Gia Lai,Gia Lai,Nhan vien,Thoa thuan,Toan thoi gian co dinh,30,"Cham soc khach hang, Tu van, KD bat dong san",chuyen vien tu van bat dong san,0 - 1 nam kinh nghiem,210927
780865,Nhan vien Kinh doanh Bat dong san,"Du an Green Dragon City phuong Cam Trung , Cam Pha, Quang Ninh .",Quang Ninh,Nhan vien,5 - 7 trieu,Toan thoi gian co dinh,30,KD bat dong san,tu van bat dong san,Khong yeu cau,210947
781033,"Nhan Vien Telesales (Full Time, Part Time, Thuc Tap Sinh)","1648, Vo Van Kiet, Phuong 16, Quan 8",Ho Chi Minh,Nhan vien,7 - 10 trieu,Toan thoi gian co dinh,30,"Cham soc khach hang, Tu van, Viec lam ban hang",bien phien dich tieng anh,Khong yeu cau,211014
781790,Thuc tap sinh ASPNet MVC,456 Xo Viet Nghe Tinh phuong 25 quan Binh Thanh TPHCM,Ho Chi Minh,Thuc tap sinh,1 - 3 trieu,Toan thoi gian co dinh,30,IT phan mem,fresher javascript,Khong yeu cau,211131
781752,Nhan vien Social Media,"142 Duong so 6A, Khu Dan cu Dai Phuc, X. Binh Hung, H. Binh Chanh, TP. HCM (Nguyen Van Linh giao Pham Hung noi dai).",Ho Chi Minh,Nhan vien,7 - 10 trieu,Toan thoi gian co dinh,30,Truyen thong,nhan vien kinh doanh truyen thong,0 - 1 nam kinh nghiem,211338
784047,[Tuyen gap] Cham soc khach hang,37 Yen Lang - Dong Da - Ha Noi,Ha Noi,Nhan vien,5 - 7 trieu,Toan thoi gian tam thoi,30,"Viec lam ban hang, Nhan vien kinh doanh, Dich vu",Dich Vu Khach Hang,Khong yeu cau,211635
782420,LDPT vs NVVP,,Binh Duong,Nhan vien,10 - 15 trieu,Toan thoi gian co dinh,30,Hanh chinh - Van phong,phu bep khong can kinh nghiem,Khong yeu cau,211664
783654,Truong Phong Kinh Doanh Ngoai Hoi Forex Crypto Co Kinh Nghiem,Quan 3 - HCM,Ho Chi Minh,Truong Phong,10 - 15 trieu,Toan thoi gian co dinh,30,"Tai chinh, Ngan hang - Chung khoan - Dau tu",nhan vien tu van tai chinh,1 - 2 nam kinh nghiem,211839
783292,Chuyen vien cham soc khach hang,"Tang 7, P701, Toa nha Machinco, so 10 Tran Phu, Ha Dong, Ha Noi",Ha Noi,Nhan vien,5 - 7 trieu,Toan thoi gian co dinh,30,"Cham soc khach hang, Dich vu",chuyen vien cham soc khach hang,Khong yeu cau,212068
784080,CHUYEN VIEN KINH DOANH (THU NHAP 15 - 20TR THANG),Toa nha Ho Guom Plaza - 104 Tran Phu - Ha Dong - Ha Noi,Ha Noi,Nhan vien,15 - 20 trieu,Toan thoi gian co dinh,30,"KD bat dong san, Viec lam ban hang, Sinh vien moi tot nghiep - Thuc tap",chuyen vien tu van bat dong san,Khong yeu cau,212159
784136,TRO LY TAI CHINH,23 Le Van Luong- Thanh Xuan- Ha Noi,Ha Noi,Nhan vien,10 - 15 trieu,Toan thoi gian co dinh,20,"Thu ky - Tro ly, Ke toan - Kiem toan, Luat - Phap ly",ke toan luong 10 trieu,Khong yeu cau,1286
782741,Nhan Vien Moi Khach Du Su Kien,"Tang 8 Toa Nha Ha Phan, 456 Phan Xich Long, Phuong 2, Phu Nhuan",Ho Chi Minh,Nhan vien,7 - 10 trieu,Toan thoi gian co dinh,20,"Cham soc khach hang, Tu van, Hanh chinh - Van phong",nhan vien cham soc khach hang qua dien thoai,Khong yeu cau,9186
784276,NHAN VIEN DAU THAU,"53 Pham Than Duat, Mai Dich, Cau Giay",Ha Noi,Nhan vien,10 - 15 trieu,Toan thoi gian co dinh,20,"Xay dung, Viec lam ban hang",nhan vien dau thau,0 - 1 nam kinh nghiem,51302
782222,Viec lam them cho hoc sinh va sinh vien online tai nha 2-3h ngay luong khoi diem 7-9tr thang,Quan Tan Binh Thanh Pho Ho Chi Minh,Ho Chi Minh,Nhan vien,10 - 15 trieu,Ban thoi gian,20,"Khu che xuat - Khu cong nghiep, Y te - Duoc, Dien - Dien tu",tho hoc viec dien lanh,Khong yeu cau,77462
782209,Viec lam them Thoi gian tu sap xep 2-3h ngay muc luong on dinh 7-9tr thang,Quan Go Vap Thanh Pho Ho Chi Minh,Ho Chi Minh,Nhan vien,7 - 10 trieu,Ban thoi gian,20,"Chan nuoi - Thu y, Y te - Duoc, Dau bep - phu bep",y si dong y,Khong yeu cau,77462
784185,Viec Lam Them cho hoc sinh sinh vien he Online 9 trieu thang Uy Tin,Quan Thu Duc Thanh Pho Ho Chi Minh,Ho Chi Minh,Nhan vien,7 - 10 trieu,Ban thoi gian,20,"Nhap lieu, Khach san - Nha hang, Sinh vien lam them",nhan vien nha hang,Khong yeu cau,77463
782494,Nhan vien hanh chinh van phong,So 06 Nguyen Hoang Phuong An Phu Quan 2 TPHCM,Ho Chi Minh,Nhan vien,10 - 15 trieu,Toan thoi gian co dinh,20,"Hanh chinh - Van phong, Thu ky - Tro ly",nhan vien hanh chinh tong hop,0 - 1 nam kinh nghiem,87193
784453,Lam viec them part-time luong 9 trieu 1thang khong can kinh nghiem,Quan Tam Thanh Pho Ho Chi Minh,Ho Chi Minh,Nhan vien,7 - 10 trieu,Ban thoi gian,20,"Lao dong pho thong, Sinh vien lam them, Lam dep - The luc - Spa",sinh vien phuc vu cafe,Khong yeu cau,93737
781550,Viec lam them buoi toi luong 7-9tr thang thoi gian tu do 2-3h ngay lam tu do,Thanh Pho Bien Hoa Dong Nai,Dong Nai,Nhan vien,10 - 15 trieu,Ban thoi gian,20,"Co khi - Che tao, Sinh vien lam them, Dau bep - phu bep",phu bep nhat,Khong yeu cau,93737
783241,Nhan Vien Ke Toan Thue.,K05/33 To Ngoc Van- Q. Thanh Khe- TP Da nang,Da Nang,Nhan vien,7 - 10 trieu,Toan thoi gian co dinh,20,"Dich vu, Ke toan - Kiem toan",nhan vien ke toan,1 - 2 nam kinh nghiem,123943
783581,Ky Thuat Vien Giam Sat He THong,157-159 Xuan Hong Phuong 12 Quan Tan Binh TPHCM,Ho Chi Minh,Nhan vien,15 - 20 trieu,Toan thoi gian co dinh,20,"Ky thuat ung dung, Dien - Dien tu, IT Phan cung - mang",ky su dien cong nghiep,1 - 2 nam kinh nghiem,139879
783592,Tro ly kiem toan,"Nam Tu Liem, Ha Noi",Ha Noi,Nhan vien,7 - 10 trieu,Toan thoi gian co dinh,20,Ke toan - Kiem toan,tro ly kiem toan,2 - 5 nam kinh nghiem,148881
782583,KE TOAN NOI BO,02 Ngo Duc Ke,Ho Chi Minh,Nhan vien,Thoa thuan,Toan thoi gian co dinh,20,"Ke toan - Kiem toan, Ngan hang - Chung khoan - Dau tu, Tai chinh",ke toan noi bo,0 - 1 nam kinh nghiem,150369
783164,Chuyen Vien Kinh Doanh,So 32 Hong Quang - P Quang Trung - Tp Hai Duong,Hai Duong,Nhan vien,10 - 15 trieu,Toan thoi gian co dinh,20,Nhan vien kinh doanh,kinh doanh phan mem,Khong yeu cau,170799
782849,Barista,50b Nguyen Thi Minh Khai,Ho Chi Minh,Nhan vien,5 - 7 trieu,Toan thoi gian co dinh,20,"Khach san - Nha hang, Sinh vien lam them",nhan vien phuc vu nha hang,Khong yeu cau,171337
781651,Chuyen vien thu mua,"Tang 4, Toa nha Betrimex, 62 Tran Huy Lieu, P.12, Q.Phu Nhuan",Ho Chi Minh,Nhan vien,10 - 15 trieu,Toan thoi gian co dinh,20,"Thuc pham - Do uong, Cong nghe thuc pham, Nganh nghe khac",nhan vien r&d thuc pham,1 - 2 nam kinh nghiem,193689
780335,Nhan vien lam lien thoi gian linh hoat,"250a Vo Van Ngan, Thu Duc",Ho Chi Minh,Nhan vien,5 - 7 trieu,Khac,20,"Cham soc khach hang, Viec lam thoi vu, Sinh vien lam them",sinh vien phuc vu cafe,Khong yeu cau,197265
780436,HUAN LUYEN VIEN DAY PATIN HA NOI VA HO CHI MINH,"KDT Handiresco, Co Nhue, Bac Tu Liem, HN",Ha Noi,Nhan vien,3 - 5 trieu,Ban thoi gian,20,Sinh vien lam them,sinh vien day kem,Khong yeu cau,197375
782540,Chuyen vien phap ly dau tu cac du an BDS,173 XuanThuy,Ha Noi,Nhan vien,15 - 20 trieu,Toan thoi gian co dinh,20,"KD bat dong san, Xay dung, Luat - Phap ly",tro ly phap ly,2 - 5 nam kinh nghiem,201981
780868,Cong tac vien Content,28D2 noi dai,Ho Chi Minh,Nhan vien,Thoa thuan,Ban thoi gian,20,Marketing - PR,Content Marketing,0 - 1 nam kinh nghiem,204023
781330,Giao Vien Tro Giang Tin Hoc Van Phong (Duoc Dao Tao),"203-205 Le Trong Tan, Son Ky, Tan Phu",Ho Chi Minh,Nhan vien,7 - 10 trieu,Toan thoi gian co dinh,20,"Giao duc - Dao tao, IT phan mem, IT Phan cung - mang",giao vien,Khong yeu cau,204161
780625,Nhan vien Telesales Part-time,Tang 6 toa M5 so 91 Nguyen Chi Thanh,Ha Noi,Thuc tap sinh,1 - 3 trieu,Ban thoi gian,20,Sinh vien lam them,sinh vien nam cuoi,Khong yeu cau,205481
781490,Nhan vien nhac no Jaccs,"92, Nguyen Huu Canh, P22, Binh Thanh, HCM.",Ho Chi Minh,Nhan vien,7 - 10 trieu,Toan thoi gian co dinh,20,Tai chinh,cong tac vien thu hoi no,1 - 2 nam kinh nghiem,205487
780610,Chuyen vien Thu Mua,"Lo B7, B8 KCN Phuc Dien - Huyen Cam Giang - Hai Duong",Hai Duong,Nhan vien,20 - 30 trieu,Toan thoi gian co dinh,20,"Bien - Phien dich, Quan ly don hang, Quan tri kinh doanh",nhan vien dieu phoi don hang,1 - 2 nam kinh nghiem,205970
782172,Truong phong Marketing,"283 Dinh Huong, Phuong Dong Cuong, TP Thanh Hoa",Thanh Hoa,Truong Phong,20 - 30 trieu,Toan thoi gian co dinh,20,"Marketing - PR, Quan tri kinh doanh, Tiep thi - Quang cao",Truong Phong Marketing,2 - 5 nam kinh nghiem,206190
781198,[LUONG 11 TRIEU] NHAN VIEN KINH DOANH - QUAN 7,30 Le Thi Cho Phuong Phu Thuan Quan 7,Ho Chi Minh,Nhan vien,7 - 10 trieu,Toan thoi gian co dinh,20,"KD bat dong san, Nhan vien kinh doanh, Tu van",chuyen vien kinh doanh bat dong san,Khong yeu cau,207713
782908,Nhan Vien Nhac Phi Qua Dien Thoai,"182 Le Dai Hanh, phuong 15, quan 11 ,HCM",Ho Chi Minh,Nhan vien,10 - 15 trieu,Toan thoi gian co dinh,20,"Ngan hang - Chung khoan - Dau tu, Tu van, Tai chinh",thu hoi no,Khong yeu cau,207928
782648,KE TOAN KHO,"35/23 duong to ky, phuong Trung My Tay, q12, hcm",Ho Chi Minh,Nhan vien,5 - 7 trieu,Toan thoi gian co dinh,20,Ke toan - Kiem toan,nhan vien bien phien dich tieng trung,0 - 1 nam kinh nghiem,208367
784412,Nhan vien dong goi hang mau - hang xuat khau thu cong my nghe,"So 48, LK11B, Khu do thi Mo Lao, Ha Dong, Ha noi",Ha Noi,Nhan vien,7 - 10 trieu,Toan thoi gian co dinh,20,Lao dong pho thong,Cong Nhan Nam,1 - 2 nam kinh nghiem,208744
784236,KY THUAT CAP THOAT NUOC,KCN Hai Son Ap Binh Tien 2 Xa Duc Hoa Ha Duc Hoa Long An,Long An,Nhan vien,7 - 10 trieu,Toan thoi gian co dinh,20,Ky thuat,ky thuat dien nuoc,1 - 2 nam kinh nghiem,209010
781564,TUYEN NHAN VIEN KINH DOANH,70 Nguyen Van Luong phuong 17 quan Go Vap,Ho Chi Minh,Nhan vien,7 - 10 trieu,Toan thoi gian co dinh,20,KD bat dong san,chuyen vien kinh doanh bat dong san,Khong yeu cau,209513
781947,Nhan Vien Kinh Doanh Telesale,35 Le Thanh Nghi,Da Nang,Nhan vien,10 - 15 trieu,Toan thoi gian tam thoi,20,"Nhan vien kinh doanh, Quan tri kinh doanh",dai dien kinh doanh,Khong yeu cau,209646
784423,TRINH DUOC VIEN OTC - LUONG CUNG 15 TRIEU (KHONG YEU CAU KINH NGHIEM VA BANG DUOC),"13-14 D1 KDT Dai Kim, Hong Quang, Hoang Mai, Ha Noi",Ha Noi,Nhan vien,7 - 10 trieu,Toan thoi gian co dinh,20,"Y te - Duoc, Nhan vien kinh doanh",trinh duoc vien otc,Khong yeu cau,209972
780469,Nhan vien thiet ke,686/20 Quoc Lo 13 Phuong Hiep Binh Phuoc,Ho Chi Minh,Nhan vien,10 - 15 trieu,Toan thoi gian co dinh,20,Thiet ke - My thuat,nhan vien thiet ke corel,0 - 1 nam kinh nghiem,210334
781094,NHAN VIEN ADMIN (KIEM QUAN LY KHO),,Ha Noi,Nhan vien,7 - 10 trieu,Toan thoi gian co dinh,20,"Vat tu - Thiet bi, Ke toan - Kiem toan",nhan vien cham soc khach hang online,1 - 2 nam kinh nghiem,210530
783337,Nhan vien Van phong CONG TY TNHH SAN XUAT VA KINH DOANH HAI HA,"29 Ngo 95 Duong Pham Van Dong, Thanh Binh, Hai Duong âœ…So dien thoai lien he:02433502057 /âœ…02203893259 /âœ…02203893639",Ha Noi,Nhan vien,Thoa thuan,Toan thoi gian co dinh,20,"Nhan vien kinh doanh, Hanh chinh - Van phong",chuyen vien kinh doanh,0 - 1 nam kinh nghiem,210635
780511,Nhan vien Kinh Doanh,"So 23, lo 6 Trung Yen 13, Trung Hoa, Cau Giay, Ha Noi",Ha Noi,Nhan vien,7 - 10 trieu,Toan thoi gian co dinh,20,"Cham soc khach hang, Xay dung, Kien truc - Tk noi that",nhan vien kinh doanh nganh xay dung,0 - 1 nam kinh nghiem,210801
780579,NHAN VIEN KINH DOANH NOI THAT,Khu Do Thi Dong Hai,Thanh Hoa,Nhan vien,Thoa thuan,Toan thoi gian co dinh,20,"Kien truc - Tk noi that, Nhan vien kinh doanh, Tu van",nhan vien cham soc khach hang qua dien thoai,1 - 2 nam kinh nghiem,210825
780621,Nhan vien Ke hoach san xuat,Lo A5-A6 Cum CN Phuoc An-Tuy Phuoc-Binh Dinh,Binh Dinh,Nhan vien,7 - 10 trieu,Toan thoi gian co dinh,20,"Thong ke, Ke toan - Kiem toan, San xuat - Van hanh san xuat",nhan vien van hanh san xuat,0 - 1 nam kinh nghiem,210845
781401,TUYEN NHAN VIEN KINH DOANH,283 duong hung vuong phuong 9 quan 5 Tp HCM,Ho Chi Minh,Nhan vien,Tren 30 trieu,Toan thoi gian co dinh,20,Nhan vien kinh doanh,chuyen vien kinh doanh,Khong yeu cau,210860
781807,Tuyen gap nhan vien tu van,"96 Hoang Ngan, Phuong Trung Hoa",Ha Noi,Nhan vien,7 - 10 trieu,Toan thoi gian co dinh,20,"Tu van, Cham soc khach hang, Telesales",nhan vien nghien cuu thi truong,0 - 1 nam kinh nghiem,210874
780877,Nhan vien xu ly no qua dien thoai,"Lau 3B, toa nha REE Tower, 9 Doan Van Bo, Quan 4, HCM",Ho Chi Minh,Nhan vien,10 - 15 trieu,Toan thoi gian co dinh,20,"Nhan su, Sinh vien lam them, Telesales",dieu hanh Tour,Khong yeu cau,210943
780938,"Tuyen Lai Xe Tai , NV Phu Xe Giao Hang Nhan Viec Ngay",Ha Noi,Bac Giang,Nhan vien,10 - 15 trieu,Toan thoi gian co dinh,20,Van tai - Lai xe,Lai Xe Cong Ty,Khong yeu cau,210981
781042,NHAN VIEN KE HOACH SAN XUAT,,Binh Dinh,Nhan vien,Thoa thuan,Toan thoi gian co dinh,20,"San xuat - Van hanh san xuat, Hoach dinh - Du an",giao vien quan nhiem noi tru,0 - 1 nam kinh nghiem,211019
781123,Shinhan Bank - Chuyen Vien Tu Van Tin Dung tai TPHCM,24C Phan Dang Luu P6 Binh Thanh TPHCM,Ho Chi Minh,Nhan vien,15 - 20 trieu,Toan thoi gian co dinh,20,"Ngan hang - Chung khoan - Dau tu, Tai chinh, Nhan vien kinh doanh",nhan vien phat trien kinh doanh,0 - 1 nam kinh nghiem,211071
781204,NHAN VIEN DONG GOI HANG,Toa Greenoffice ngo 102 truong chinh,Ha Noi,Moi Tot Nghiep,5 - 7 trieu,Toan thoi gian co dinh,20,My pham - Thoi trang - Trang suc,Nhan Vien Kinh Doanh My Pham,0 - 1 nam kinh nghiem,211097
781224,Chuyen vien Tu van Bat dong san Cao cap,"So 01 S06 tang 1, Toa S6B, duong Hoi Xa, Vinhomes Symphony, Phuc Loi, Long Bien, Ha Noi",Ha Noi,Nhan vien,Tren 50 trieu,Toan thoi gian co dinh,20,"KD bat dong san, Nhan vien kinh doanh, Tu van",chuyen vien tu van bat dong san,Khong yeu cau,211108
781292,CHUYEN VIEN TUYEN DUNG,Svay Rieng Moc Bai Campuchia,Ho Chi Minh,Nhan vien,Tren 30 trieu,Toan thoi gian co dinh,20,Nhan su,chuyen vien tu van tuyen dung,1 - 2 nam kinh nghiem,211125
783628,Nhan vien hanh chinh,Tang 3 toa FS Gold Season 47 Nguyen Tuan,Ha Noi,Nhan vien,7 - 10 trieu,Toan thoi gian co dinh,20,"Hanh chinh - Van phong, Nhan su, Ke toan - Kiem toan",nhan vien hanh chinh tong hop,1 - 2 nam kinh nghiem,211161
781457,Sale Online,,"Ho Chi Minh, Ho Chi Minh",Moi Tot Nghiep,7 - 10 trieu,Toan thoi gian co dinh,20,Viec lam ban hang,ke toan tong hop,0 - 1 nam kinh nghiem,211212
782596,Chuyen vien Tu Van - Duoc dao tao,,Ho Chi Minh,Nhan vien,Thoa thuan,Toan thoi gian co dinh,20,"Nhan vien kinh doanh, Tu van",tu van tai chinh,Khong yeu cau,211299
781774,Nhan vien kinh doanh,So 88 Ngo 79 Cau Giay,Ha Noi,Nhan vien,7 - 10 trieu,Hop dong,20,"Cham soc khach hang, Tu van",nhan vien tu van khach hang,Khong yeu cau,211349
